觸發日期,代號,名稱,收盤,策略狀態,停損價,1Y內最高績效,1Y內最低績效,觸發策略,5日線,20日線,季線(60),20MA乖離率,20日區間振幅,年線位置,年線(240),5日線5日斜率,季線20日斜率,年線20日斜率,距離年線,年線OLS斜率,年線R平方,5日內曾有跳空,5日內曾有爆量,季線扣抵均值,季線扣抵最高,中短期糾結度,今日量比,沉澱天數,前置沉澱扎實度評估
2021/11/1,2610,華航,15.42905712,第一型：短線強勢動能與均線交叉發散?可買進,13.80943203,75.14% $$2022-02-18$$,-5.19% (2022-10-21),右側突破策略,14.44,14.29,14.28,7.98%,12.23%,上,,,,,,,,,,,,,,,
2021/7/22,6515,穎崴,249.1188965,第一型：短線強勢動能與均線交叉發散?可買進,239.1178131,74.82% (2022-03-24),-14.6% $$2021-08-19$$,右側突破策略,244.39,243.19,242.38,2.44%,11.40%,上,,,,,,,,,,,,,,,
2025/8/6,2890,永豐金,23.22821045,第一型：短線強勢動能與均線交叉發散?可買進,21.9846344,74.79% (2026-07-31),-4.39% $$2025-08-26$$,右側突破策略,22.61,22.54,21.58,3.05%,5.12%,上,,,,,,,,,,,,,,,
2020/6/1,2105,正新,25.73586082,第一型：短線強勢動能與均線交叉發散?可買進,24.78268242,74.07% (2021-04-21),0.0% $$2020-06-30$$,右側突破策略,25.61,25.43,25.32,1.18%,10.04%,上,,,,,,,,,,,,,,,
2017/5/5,2454,聯發科,136.0310516,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",132.8821869,72.81% (2018-04-18),-3.7% $$2017-05-09$$,V轉選股,137.42,,137.96,,,,142.56,1.44%,0.15%,0.13%,,,,,,,,,,,
2018/7/30,3017,奇鋐,23.01988983,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",21.80831718,72.59% (2019-07-24),-26.4% $$2018-10-25$$,V轉選股,22.93,,23.32,,,,23.37,2.27%,0.19%,0.69%,,,,,,,,,,,
2023/5/30,2317,鴻海,93.25235748,"季線在年線下、年季線皆走平或走揚,5日線強勢突破季線且高於10/20日?可買進",88.89478302,72.43% (2024-05-24),-7.42% $$2023-10-30$$,V轉選股,90.72,,90.34,,,,90.53,1.26%,0.80%,0.15%,,,,,,,,,,,
2018/8/2,3017,奇鋐,23.06027412,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",21.80831718,72.29% (2019-07-24),-26.53% $$2018-10-25$$,V轉選股,23.3,,23.36,,,,23.4,3.52%,0.57%,0.72%,,,,,,,,,,,
2025/2/11,4958,臻鼎-KY,113.3643494,"季線在年線下、年季線皆走平或走揚,5日線強勢突破季線且高於10/20日?可買進",107.1980896,72.16% (2025-08-29),-28.2% $$2025-04-09$$,V轉選股,112.23,,112.21,,,,112.26,1.81%,1.27%,1.29%,,,,,,,,,,,
2018/9/3,3017,奇鋐,23.10066223,【築底驗證成功】A級多頭順勢跟隨?可買進,4.62%,71.99% (2019-07-24),-26.66% $$2018-10-25$$,U底籌碼沉澱突破,,,,,,,,,,,-1.89%,0.02%,0.88,無,有 (最高量比 4.64x),23.58,25.32,2.42%,2.06x,16,"16/60, 門檻15~30天"
2018/8/3,3017,奇鋐,23.18143463,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",22.01024628,71.39% (2019-07-24),-26.91% $$2018-10-25$$,V轉選股,23.25,,23.36,,,,23.41,2.27%,0.68%,0.74%,,,,,,,,,,,
2018/8/7,3017,奇鋐,23.22181892,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",22.01024628,71.09% (2019-07-24),-27.04% $$2018-10-25$$,V轉選股,23.3,,23.38,,,,23.44,0.73%,0.92%,0.79%,,,,,,,,,,,
2021/7/5,3036,文曄,44.39572906,"第二型：$勝率極高$ 短線強勢動能與均線交叉發散, 並結構突破?必買進",40.05348206,71.05% (2022-02-14),-0.34% $$2021-07-09$$,右側突破策略,41.21,40.76,39.27,8.91%,4.04%,上,,,,,,,,,,,,,,,
2025/6/27,6191,精成科,83.58599091,第一型：短線強勢動能與均線交叉發散?可買進,76.03872681,70.95% (2025-09-03),-2.93% $$2025-07-04$$,右側突破策略,78.17,76.85,67.28,8.77%,18.78%,上,,,,,,,,,,,,,,,
2018/8/9,3017,奇鋐,23.26220322,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",22.05063057,70.79% (2019-07-24),-27.17% $$2018-10-25$$,V轉選股,23.32,,23.42,,,,23.47,0.07%,1.13%,0.87%,,,,,,,,,,,
2023/11/2,2313,華通,50.40493774,第一型：短線強勢動能與均線交叉發散?可買進,48.54153442,70.38% (2024-07-11),-0.37% $$2023-11-06$$,右側突破策略,49.44,49.22,46.48,2.40%,10.22%,上,,,,,,,,,,,,,,,
2020/7/6,2408,南亞科,53.4925766,"季線在年線下、年季線皆走平或走揚,5日線強勢突破季線且高於10/20日?可買進",51.57282639,70.27% (2021-04-09),-18.27% $$2020-08-20$$,V轉選股,53.23,,53.17,,,,61.49,2.35%,2.70%,0.56%,,,,,,,,,,,
